Data	Horas Trabalhadas	Tipo Tarefa			Descrição da Tarefa Realizada
02/09	2h			estudar				Foi estudado o objetivo do trabalho e alguns dos arquivos a serem utilizados no projeto
03/09	2h			estudar				Foi estudado o resto dos arquivos que serão utilizados no projeto
03/09	1h			realizar os testes		Foi realizado o teste que veio pronto com a lista, comparando com o arquivo (.c) de teste de lista
03/09	1h			codificar módulo		Iniciadas as alterações da lista para receber nova estrutura como valor
06/09	1h			codificar módulo		Início da implementação das funções novas a serem utilizadas
07/09	2h			codificar módulo		Terminada implementação das funções novas
08/09	1h			codificar módulo		Modificação dos testes no módulo de teste
08/09   1h			codificar módulo		Implementação de mais testes
11/09	1h			revisar código do módulo	Remoção de funções da interface e do módulo de teste
11/09	1h			revisar script de teste 	Remoção de testes 
