Data	Horas Trabalhadas	Tipo Tarefa			Descrição da Tarefa Realizada
03/09	2h			estudar				Estudei a configuração do ambiente para rodar os testes
03/09	1h			estudar				Estudei o modulo de Lista
03/09	1h			codificar módulo		Implementação da nova estrutura
06/09	1h			codificar módulo		Implementação das funções novas
07/09	1h			codificar módulo		Terminada implementação das funções novas
07/09	2h			estudar				Estudos em relação a interação entre o testlis.c e p lista.c
08/09   1h			codificar script 		Trabalhei na implementação do script de teste
11/09	1h			revisar código do módulo	Revisado comentarios e detalhes do codigo
